Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HU-en_2016-07-20	u2016-07-20-0	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 summer extraordinary, meeting 61, day 1, 2016-07-20 [ParlaMint.ana]	2016-07-20	Unicameralism	7. ciklus	-	61. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2016-07-20	u2016-07-20-11	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 summer extraordinary, meeting 61, day 1, 2016-07-20 [ParlaMint.ana]	2016-07-20	Unicameralism	7. ciklus	-	61. ülés	1. ülésnap	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	NagyIstvan	Nagy, István	M	1967	
ParlaMint-HU-en_2016-07-20	u2016-07-20-12	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 summer extraordinary, meeting 61, day 1, 2016-07-20 [ParlaMint.ana]	2016-07-20	Unicameralism	7. ciklus	-	61. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2016-07-20	u2016-07-20-13	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 summer extraordinary, meeting 61, day 1, 2016-07-20 [ParlaMint.ana]	2016-07-20	Unicameralism	7. ciklus	-	61. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 7th parliamentary term	Opposition	Centre-right	SzilagyiGyorgy	Szilágyi, György	M	1966	
ParlaMint-HU-en_2016-07-20	u2016-07-20-14	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 summer extraordinary, meeting 61, day 1, 2016-07-20 [ParlaMint.ana]	2016-07-20	Unicameralism	7. ciklus	-	61. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2016-07-20	u2016-07-20-15	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 summer extraordinary, meeting 61, day 1, 2016-07-20 [ParlaMint.ana]	2016-07-20	Unicameralism	7. ciklus	-	61. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	TuzsonBence	Tuzson, Bence	M	1972	
ParlaMint-HU-en_2016-07-20	u2016-07-20-16	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 summer extraordinary, meeting 61, day 1, 2016-07-20 [ParlaMint.ana]	2016-07-20	Unicameralism	7. ciklus	-	61. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2016-07-20	u2016-07-20-17	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 summer extraordinary, meeting 61, day 1, 2016-07-20 [ParlaMint.ana]	2016-07-20	Unicameralism	7. ciklus	-	61. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	KosaLajos	Kósa, Lajos	M	1964	
ParlaMint-HU-en_2016-07-20	u2016-07-20-18	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 summer extraordinary, meeting 61, day 1, 2016-07-20 [ParlaMint.ana]	2016-07-20	Unicameralism	7. ciklus	-	61. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2016-07-20	u2016-07-20-19	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 summer extraordinary, meeting 61, day 1, 2016-07-20 [ParlaMint.ana]	2016-07-20	Unicameralism	7. ciklus	-	61. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	PogacsasTibor	Pogácsás, Tibor	M	1964	
ParlaMint-HU-en_2016-07-20	u2016-07-20-20	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 summer extraordinary, meeting 61, day 1, 2016-07-20 [ParlaMint.ana]	2016-07-20	Unicameralism	7. ciklus	-	61. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2016-07-20	u2016-07-20-21	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 summer extraordinary, meeting 61, day 1, 2016-07-20 [ParlaMint.ana]	2016-07-20	Unicameralism	7. ciklus	-	61. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	SzucsLajos	Szűcs, Lajos	M	1964	
ParlaMint-HU-en_2016-07-20	u2016-07-20-22	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 summer extraordinary, meeting 61, day 1, 2016-07-20 [ParlaMint.ana]	2016-07-20	Unicameralism	7. ciklus	-	61. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
